,tweet,compound,positive,negative,neutral
2021-01-15,fsr msft novn opti dpw xspa tsla ibio ino acb nkla wkhs boxl vxrt dkng fsly nio spy sunw srne,0.0,0.0,0.0,1.0
2021-01-15,AAPL 15 minute The nested 12 counts are in place all across big tech except for FB If theyre going to go,0.0,0.0,0.0,1.0
2021-01-15,That was the end of any investing I did in my 20s From those picks INTC and MSFT havent done anything until ab,0.0,0.0,0.0,1.0
2021-01-15,So I put a portion of my account into INTC a portion into MSFT and in what turned out to be my best pick to date AAPL,0.6369,0.154,0.0,0.846
2021-01-15,spy gspc aapl nflx goog tsla Biden team cancels weekend inauguration walkthrough over security concerns Pol,0.128,0.131,0.104,0.765
2021-01-15,hazelbeaa alexcutler247 Never sell AAPL Not worth it,-0.1695,0.0,0.192,0.808
2021-01-15,193000000000 That is how much cash Apple AAPL has on hand Thats 17 397 388 Bitcoins and one Jeff Bezos,0.4939,0.144,0.0,0.856
2021-01-15,AAPL this is pretty normal waiting for a strong signal I just day trade it often for right now,0.7579,0.302,0.0,0.698
2021-01-15,Turribletowel AAPL is such an incredible company its hard to be bearish I sold the day they split and they hav,-0.1027,0.0,0.069,0.931
2021-01-15,Everyone please follow AlexanderSzews SPY QQQ IWM VIX AMZN TSLA AAPL MoMoBagholder Saburgs dtarian04,0.3182,0.15,0.0,0.85
2021-01-15,2 free stocks just for signing up using link Theres a Holiday Event going on in the Webull mobile app 2000,0.7184,0.261,0.0,0.739
2021-01-15,Difficult to getprofitwith crypto trading Use BAEX today The most profitable defi binary exchange Make mon,0.1761,0.162,0.127,0.711
2021-01-15,AAPL might crash into 122 by next week,-0.4019,0.0,0.278,0.722
2021-01-15,Bidens 19 Trillion plan did not move Futures market tonight SPX NDX DJIA They are all flatJust sell this,0.0,0.0,0.0,1.0
2021-01-15,Valuations thoughts on AAPL I bought some FANGS today in anticipation of earnings on 127 Iphone 12 sales on f,0.1027,0.076,0.0,0.924
2021-01-15,JohnCGreer rsosa8 Funnily enough when covid hit and the SP500 plunged I went all in betting on a Vshaped recove,0.4404,0.146,0.0,0.854
2021-01-15,TradeInTheZone AAPLwill crush earnings and bounce,-0.1531,0.0,0.242,0.758
2021-01-15,OCE buy now if you believe in VET then you should obviously buy this coinZEL BTC ETH EGLD VRA,0.0,0.0,0.0,1.0
2021-01-15,Valuations I went long FB todaymight have started too early but earnings on 127 and AAPL and I think a r,0.0,0.0,0.0,1.0
2021-01-15,Dont miss your chance of claiming free stocks Sign up open an account and make your first deposit and get 4 free,0.7433,0.3,0.065,0.635
2021-01-15,AAPL closed today at 12891If you bought 1 share of AAPL at its closing price every day this week youve los,0.296,0.104,0.0,0.896
2021-01-15,On watch AAPL JAN 22 136 CALLS,0.0,0.0,0.0,1.0
2021-01-15,alphatrends sorry i meant sometimes stock like aapl have a sudden candle which take out stops Ive seen one in TW,0.1531,0.117,0.136,0.748
2021-01-15,SWRM Awesome keep pushing forward Amazing work done so far ZM SFOR AAPL CSCO MSFT PLUG MU NLOK XRX,0.836,0.317,0.0,0.683
2021-01-15,Another great week Gains of over 2400 and over 18 returns A big thank you to this community BYND SRNE,0.8402,0.36,0.0,0.64
2021-01-15,SmartOptions Unusual Activity AlertDelayedAAPL 275 Calls01212022 ExpTrade Volume 200 Contracts20,0.0,0.0,0.0,1.0
2021-01-15,Another great week Gains of over 2400 and over 18 returns A big thank you to this community ENG SPY,0.8402,0.36,0.0,0.64
2021-01-15,Sooo CCIV traded over 132000000 in share volume today mean while AAPL traded 90 million in share Volume,0.5267,0.216,0.0,0.784
2021-01-15,TicTocTick Short AAPL,0.0,0.0,0.0,1.0
2021-01-15,Get daily winning alerts 100 FREE If you really want to make huge profits on STOCK tradingAAPL ZSAN,0.9221,0.523,0.0,0.477
2021-01-15,AAL NFLX AMD AAPL GEVO WATCH FOR THESE SETUPS360 on AAL calls today and this is how to find these setups,0.0,0.0,0.0,1.0
2021-01-15,stonksrus TicTocTick AAPL is an EV stock,0.0,0.0,0.0,1.0
2021-01-15,Get daily winning alerts 100 FREE If you really want to make huge profits on STOCK tradingNIO CODX,0.9221,0.523,0.0,0.477
2021-01-15,New post BlackBerry NASDAQBB Apple Inc NASDAQAAPL Why BlackBerry Stock Spiked 37 Today has been publis,0.0,0.0,0.0,1.0
2021-01-15,Stock market is the representation of the psychology of the entire world it tells what people thinking and market,0.0,0.0,0.0,1.0
